species_combo,cross_type,div_time_mya,div_time_mya_adjusted,div_time_mgens,div_time_mgens_adjusted,div_time_mgens_nocons,F1_RI,F2_RI,premating_RI,prezyg_RI,postzyg_RI,terminal_stage,fertility_f,fertility_m,F1_stage
imperialis-becei,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,0,0,1,emb,,,3
imperialis-briggsae,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
imperialis-doughertyi,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
imperialis-elegans,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
imperialis-kamaaina,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
imperialis-macrosperma,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,0,0,1,emb,,,3
imperialis-nouraguensis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,,,ambig_emb,,,3.5
imperialis-panamensis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,0,0,1,emb,,,3
imperialis-wallacei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
imperialis-yunquensis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,,,ambig_emb,,,3.5
inopinata-brenneri,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,1,,no fert,,,4
inopinata-briggsae,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,1,,no fert,,,4
inopinata-elegans,heterospecific,42.758,42.758,427.58,427.58,427.58,1,1,0.5,1,,no fert,,,4
inopinata-guadeloupensis,heterospecific,99.223,99.223,992.23,992.23,992.23,1,1,0,1,,no fert,,,4
inopinata-remanei,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,1,,no fert,,,4
inopinata-sp50,heterospecific,,,,,,1,1,1,1,,no fert,,,4
japonica-becei,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,1,,no fert,,,4
japonica-panamensis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,1,,no fert,,,4
japonica-sinica,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
kamaaina-brenneri,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,0,0,1,emb,,,3
kamaaina-elegans,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,,,,ambig_emb,,,3.5
kamaaina-imperialis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
kamaaina-macrosperma,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
kamaaina-nouraguensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
kamaaina-oiwi,heterospecific,9.981,9.981,99.81,99.81,99.81,1,1,,,,ambig_emb,,,3.5
kamaaina-remanei,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,0,0,1,emb,,,3
kamaaina-wallacei,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,0,0,1,emb,,,3
